日付,部署,担当者,商品,数量,単価,金額
2024/03/01,営業部,伊藤健太,商品D,1,5000,5000
2024/03/01,営業部,伊藤健太,商品A,20,30000,600000
2024/03/01,マーケティング部,高橋美咲,商品B,15,15000,225000
2024/03/02,開発部,伊藤健太,商品B,21,10000,210000
2024/03/02,営業部,佐藤一郎,商品D,4,50000,200000
2024/03/02,開発部,高橋美咲,商品C,6,20000,120000
2024/03/02,マーケティング部,渡辺直美,商品C,18,30000,540000
2024/03/02,マーケティング部,田中太郎,商品D,5,10000,50000
2024/03/03,開発部,田中太郎,商品B,5,20000,100000
2024/03/03,開発部,佐藤一郎,商品A,4,20000,80000
2024/03/03,総務部,佐藤一郎,商品B,23,5000,115000
2024/03/03,営業部,高橋美咲,商品B,24,20000,480000
2024/03/03,開発部,佐藤一郎,商品A,8,15000,120000
2024/03/03,開発部,鈴木花子,商品C,2,15000,30000
2024/03/03,総務部,田中太郎,商品B,16,5000,80000
2024/03/04,営業部,伊藤健太,商品D,17,10000,170000
2024/03/04,総務部,高橋美咲,商品B,23,30000,690000
2024/03/04,営業部,田中太郎,商品A,24,10000,240000
2024/03/04,営業部,渡辺直美,商品B,17,20000,340000
2024/03/04,営業部,伊藤健太,商品C,18,5000,90000
2024/03/05,営業部,渡辺直美,商品E,8,10000,80000
2024/03/05,開発部,佐藤一郎,商品B,24,30000,720000
2024/03/05,営業部,伊藤健太,商品D,12,5000,60000
2024/03/05,総務部,渡辺直美,商品D,3,15000,45000
2024/03/05,開発部,伊藤健太,商品D,1,5000,5000
2024/03/06,開発部,伊藤健太,商品D,22,30000,660000
2024/03/06,マーケティング部,佐藤一郎,商品C,24,50000,1200000
2024/03/06,営業部,鈴木花子,商品D,4,15000,60000
2024/03/07,総務部,佐藤一郎,商品B,24,20000,480000
2024/03/07,営業部,高橋美咲,商品E,8,20000,160000
2024/03/07,マーケティング部,渡辺直美,商品E,16,15000,240000
2024/03/07,開発部,鈴木花子,商品C,1,20000,20000
2024/03/07,開発部,伊藤健太,商品B,22,30000,660000
2024/03/07,総務部,伊藤健太,商品C,23,30000,690000
2024/03/07,マーケティング部,鈴木花子,商品D,9,15000,135000
2024/03/08,マーケティング部,高橋美咲,商品B,15,50000,750000
2024/03/08,開発部,鈴木花子,商品C,7,50000,350000
2024/03/08,営業部,田中太郎,商品E,2,20000,40000
2024/03/08,総務部,佐藤一郎,商品E,25,30000,750000
2024/03/08,開発部,伊藤健太,商品E,19,50000,950000
2024/03/08,開発部,鈴木花子,商品D,19,50000,950000
