日付,部署,担当者,商品,数量,単価,金額
2024/02/01,営業部,鈴木花子,商品B,25,15000,375000
2024/02/01,マーケティング部,田中太郎,商品C,7,10000,70000
2024/02/01,開発部,鈴木花子,商品E,14,10000,140000
2024/02/01,総務部,高橋美咲,商品B,9,50000,450000
2024/02/02,開発部,高橋美咲,商品A,11,30000,330000
2024/02/02,営業部,田中太郎,商品C,15,20000,300000
2024/02/02,営業部,佐藤一郎,商品A,21,5000,105000
2024/02/02,総務部,田中太郎,商品C,10,30000,300000
2024/02/02,開発部,渡辺直美,商品D,12,15000,180000
2024/02/02,総務部,田中太郎,商品A,2,50000,100000
2024/02/02,営業部,高橋美咲,商品E,14,10000,140000
2024/02/02,営業部,伊藤健太,商品D,10,30000,300000
2024/02/02,総務部,伊藤健太,商品B,18,15000,270000
2024/02/03,開発部,田中太郎,商品E,17,10000,170000
2024/02/03,営業部,渡辺直美,商品D,15,30000,450000
2024/02/03,開発部,渡辺直美,商品C,9,30000,270000
2024/02/03,開発部,鈴木花子,商品C,10,50000,500000
2024/02/03,マーケティング部,鈴木花子,商品D,12,5000,60000
2024/02/03,営業部,田中太郎,商品C,4,50000,200000
2024/02/03,開発部,鈴木花子,商品E,19,10000,190000
2024/02/04,開発部,鈴木花子,商品E,2,50000,100000
2024/02/04,総務部,伊藤健太,商品B,14,30000,420000
2024/02/04,営業部,渡辺直美,商品E,16,30000,480000
2024/02/04,総務部,伊藤健太,商品A,10,5000,50000
2024/02/04,マーケティング部,伊藤健太,商品C,24,50000,1200000
2024/02/05,総務部,鈴木花子,商品A,25,30000,750000
2024/02/05,営業部,鈴木花子,商品E,11,5000,55000
2024/02/05,営業部,伊藤健太,商品A,22,5000,110000
2024/02/05,営業部,鈴木花子,商品E,5,50000,250000
2024/02/05,営業部,佐藤一郎,商品A,17,30000,510000
2024/02/06,営業部,鈴木花子,商品D,17,5000,85000
2024/02/06,営業部,伊藤健太,商品B,17,30000,510000
2024/02/06,営業部,渡辺直美,商品D,15,30000,450000
2024/02/06,マーケティング部,佐藤一郎,商品D,7,10000,70000
2024/02/06,営業部,渡辺直美,商品E,6,50000,300000
2024/02/06,開発部,渡辺直美,商品E,11,30000,330000
2024/02/07,マーケティング部,高橋美咲,商品A,22,10000,220000
2024/02/07,開発部,鈴木花子,商品C,25,10000,250000
2024/02/07,営業部,高橋美咲,商品C,6,15000,90000
2024/02/07,営業部,高橋美咲,商品E,5,5000,25000
2024/02/07,総務部,鈴木花子,商品D,1,15000,15000
2024/02/07,総務部,高橋美咲,商品E,15,20000,300000
2024/02/07,マーケティング部,佐藤一郎,商品E,10,10000,100000
